Database Name	1400L19201
Database Link	http://10.25.11.3/ODA/OdaService.asmx
Evaluation Signature	2928ff34-54a8-455d-ab66-f07f402d310a
Plate Name	EP209
Measurement	Measurement 4
Evaluation	Evaluation2
Population	Population - Nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Time post-release	AB1-1	AB1-2	AB2-1	AB2-2	Nuclei - Intensity Nucleus dsRed Mean	Nuclei - Intensity Nucleus dsRed StdDev	Nuclei - Intensity Nucleus EGFP Mean	Nuclei - Intensity Nucleus EGFP StdDev	Nuclei - Intensity Cytoplasm Region dsRed Mean	Nuclei - Intensity Cytoplasm Region dsRed StdDev	Nuclei - Intensity Cytoplasm Region EGFP Mean	Nuclei - Intensity Cytoplasm Region EGFP StdDev	
3	3	1	0	3	33	1955	787	[1903,722,2003,838]	-198.73	1333.17	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	133.027	40.7651	750.231	330.21	115.529	11.3896	357.943	288.3	
3	3	1	0	3	34	1580	807	[1524,747,1636,863]	-251.95	1330.15	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	130.423	7.80871	920.939	129.685	138.825	104.96	739.016	473.42	
3	3	1	0	3	35	555	815	[525,783,593,847]	-396.63	1329.38	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.73	18.6907	264.139	80.0519	117.48	18.1398	162.478	62.1519	
3	3	1	0	3	36	619	819	[583,783,655,868]	-388.39	1327.62	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	120.225	15.1285	315.143	82.0291	123.529	16.7878	176.532	66.2153	
3	3	1	0	3	37	1670	859	[1591,792,1730,927]	-240.01	1322.79	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	138.407	80.8061	291.872	234.726	141.282	60.6776	261.38	321.02	
3	3	1	0	3	38	1277	951	[1222,900,1330,1003]	-294.87	1309.94	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	125.668	5.92864	709.369	76.1261	205.575	458.417	581.249	622.02	
3	3	1	0	3	39	386	1076	[345,1024,436,1120]	-421.01	1292.31	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.903	20.3294	442.781	152.749	198.523	397.584	268.358	441.121	
3	3	1	0	3	40	1037	1128	[995,1086,1106,1173]	-327.17	1284.07	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	127.359	20.3983	259.815	176.093	126.768	25.1082	146.092	57.4728	
3	3	1	0	3	41	1812	1158	[1762,1115,1869,1208]	-218.96	1280.28	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	121.717	28.3675	383.717	139.577	171.186	221.704	284.051	424.196	
3	3	1	0	3	42	1529	1198	[1481,1150,1577,1246]	-259.19	1274.74	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	122.714	5.65337	818.954	79.3555	124.703	17.0988	516.794	260.539	
3	3	1	0	3	43	1379	1238	[1328,1193,1428,1286]	-280.22	1269.02	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	123.397	17.7003	297.091	112.582	121.265	12.992	190.991	102.066	
3	3	1	0	3	44	1830	1234	[1787,1188,1869,1272]	-216.56	1269.73	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	183.443	307.358	484.105	443.663	202.372	235.725	354.359	418.445	
3	3	1	0	3	45	701	1248	[642,1207,752,1296]	-376.61	1267.14	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	126.823	39.7011	333.95	122.138	252.573	487.837	435.472	898.198	
3	3	1	0	3	46	1745	1264	[1695,1207,1799,1316]	-228.35	1265.69	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	124.576	6.74227	796.338	96.3577	121.728	7.66778	568.216	267.68	
3	3	1	0	3	47	1570	1308	[1524,1262,1616,1356]	-253.44	1259.23	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	121.951	5.91988	807.315	121.815	135.662	47.3823	660.577	457.027	
3	3	1	0	3	48	1974	1449	[1924,1405,2024,1499]	-195.99	1238.87	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	125.419	6.2431	1157.53	185.705	116.604	8.9448	481.873	334.881	
3	3	1	0	3	49	1648	1477	[1594,1425,1704,1535]	-242.24	1234.99	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	122.049	7.53158	982.965	200.205	138.292	42.3965	1010.37	726.061	
3	3	1	0	3	50	1386	1506	[1347,1467,1435,1548]	-279.11	1231.06	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	139.598	58.0153	317.355	141.922	291.057	517.44	348.912	506.644	
3	3	1	0	3	51	1914	1528	[1810,1470,1994,1593]	-205.23	1227.81	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	130.007	7.24753	974.945	173.623	128.658	90.7866	473.36	296.348	
3	3	1	0	3	52	181	1545	[123,1492,245,1598]	-449.58	1225.6	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	118.454	11.0152	911.711	107.894	117.535	30.4953	595.338	427.649	
3	3	1	0	3	53	836	1642	[782,1590,888,1705]	-357.76	1211	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	125.667	6.80701	999.467	127.508	125.088	9.34703	904.07	473.22	
