,Unnamed: 0,t,bact,mito_frag,mito_pot,annexin,hoechst,leg_n,leg_area,infected,cell_lbl,well_id,growth
1074,2169,12,Lpp WT,0.4408229999999999,0.229515,169.44,532.007,5.0,8.50555,1.0,w1_f11_c1,,0
1075,2170,13,Lpp WT,0.4444149999999999,0.2158389999999999,173.454,718.686,6.0,12.313,1.0,w1_f11_c1,,0
1076,2171,14,Lpp WT,0.437881,0.249526,183.987,677.138,5.0,10.9856,1.0,w1_f11_c1,,0
1077,2172,15,Lpp WT,0.43735,0.245152,145.07399999999998,820.03,5.0,7.5799,1.0,w1_f11_c1,,0
1078,2173,16,Lpp WT,0.4428689999999999,0.217705,131.704,805.4860000000001,9.0,8.13005,1.0,w1_f11_c1,,0
1079,2174,17,Lpp WT,0.453269,0.189682,202.166,750.2239999999999,2.0,0.0349304,1.0,w1_f11_c1,,0
1080,2196,0,Lpp WT,0.333207,0.5481550000000001,119.692,230.405,1.0,1.64173,1.0,w1_f11_c5,,0
1081,2197,1,Lpp WT,0.461917,0.18811,120.159,341.478,3.0,0.995516,1.0,w1_f11_c5,,0
1082,2198,2,Lpp WT,0.460035,0.143306,118.343,415.127,0.0,0.0,0.0,w1_f11_c5,,0
1083,2199,3,Lpp WT,0.4837649999999999,0.110574,121.101,468.515,1.0,1.99103,1.0,w1_f11_c5,,0
1084,2200,4,Lpp WT,0.486966,0.107777,118.559,547.736,0.0,0.0,0.0,w1_f11_c5,,0
1085,2201,5,Lpp WT,0.498658,0.0723398999999999,119.163,561.6669999999999,0.0,0.0,0.0,w1_f11_c5,,0
1086,2202,6,Lpp WT,0.524509,0.0621905999999999,117.004,601.265,0.0,0.0,0.0,w1_f11_c5,,0
1087,2203,7,Lpp WT,0.522087,0.0488489,119.804,2199.33,0.0,0.0,0.0,w1_f11_c5,,0
1088,2204,8,Lpp WT,0.524216,0.0504587,124.927,3726.67,0.0,0.0,0.0,w1_f11_c5,,0
1089,2205,9,Lpp WT,0.517896,0.0699213,209.639,4203.95,2.0,5.03871,1.0,w1_f11_c5,,0
1090,2206,10,Lpp WT,0.5224,0.0655909,408.465,4558.81,2.0,3.851080000000001,1.0,w1_f11_c5,,0
1091,2207,11,Lpp WT,0.517397,0.0704453999999999,545.668,4006.1,2.0,5.71985,1.0,w1_f11_c5,,0
1092,2208,12,Lpp WT,0.516616,0.0737697,679.301,4435.19,3.0,7.16073,1.0,w1_f11_c5,,0
1093,2209,13,Lpp WT,0.5165310000000001,0.0724095,548.391,3156.35,3.0,14.8542,1.0,w1_f11_c5,,0
1094,2210,14,Lpp WT,0.5083810000000001,0.0926027,747.166,3900.15,3.0,15.3257,1.0,w1_f11_c5,,0
1095,2211,15,Lpp WT,0.513389,0.0783517,666.232,3381.2,3.0,14.8629,1.0,w1_f11_c5,,0
1096,2212,16,Lpp WT,0.514299,0.0846481,652.521,3292.76,3.0,14.8367,1.0,w1_f11_c5,,0
1097,2213,17,Lpp WT,0.5128699999999999,0.0864163,658.034,3236.52,3.0,15.7361,1.0,w1_f11_c5,,0
1098,2214,0,Lpp WT,0.358401,0.476088,130.88,230.79,5.0,13.9722,1.0,w1_f11_c6,,0
1099,2215,1,Lpp WT,0.4380989999999999,0.2213389999999999,137.99,395.46,7.0,28.9398,1.0,w1_f11_c6,,0
1100,2216,2,Lpp WT,0.451105,0.20131,147.89700000000002,539.224,3.0,20.6002,1.0,w1_f11_c6,,0
1101,2217,3,Lpp WT,0.464362,0.167996,140.248,673.845,5.0,15.1598,1.0,w1_f11_c6,,0
1102,2218,4,Lpp WT,0.5156970000000001,0.146168,335.911,908.09,10.0,19.7007,1.0,w1_f11_c6,,0
1103,2219,5,Lpp WT,0.516093,0.107492,306.997,245.924,3.0,6.24381,1.0,w1_f11_c6,,0
1104,2220,6,Lpp WT,0.5161,0.106483,305.532,251.26,3.0,4.08686,1.0,w1_f11_c6,,0
1105,2221,7,Lpp WT,0.510358,0.130082,276.76,248.384,5.0,7.230589999999999,1.0,w1_f11_c6,,0
1106,2222,8,Lpp WT,0.499655,0.218128,296.925,302.882,5.0,8.88105,1.0,w1_f11_c6,,0
1107,2223,9,Lpp WT,0.5061899999999999,0.1651359999999999,311.496,349.346,3.0,5.21336,1.0,w1_f11_c6,,0
1108,2224,10,Lpp WT,0.524978,0.0471263,353.056,865.783,3.0,0.8383299999999999,1.0,w1_f11_c6,,0
1109,2225,11,Lpp WT,0.511238,0.1236569999999999,412.364,549.597,2.0,5.09984,1.0,w1_f11_c6,,0
1110,2226,12,Lpp WT,0.509306,0.133141,447.80300000000005,647.689,7.0,9.57093,1.0,w1_f11_c6,,0
1111,2227,13,Lpp WT,0.522934,0.0561957,414.1880000000001,373.26,4.0,4.017,1.0,w1_f11_c6,,0
1112,2228,14,Lpp WT,0.5095029999999999,0.132578,438.705,432.236,6.0,5.96437,1.0,w1_f11_c6,,0
1113,2229,15,Lpp WT,0.517015,0.0856748999999999,433.766,384.237,3.0,2.87303,1.0,w1_f11_c6,,0
1114,2230,16,Lpp WT,0.49682,0.126518,430.747,379.357,4.0,7.02101,1.0,w1_f11_c6,,0
1115,2231,17,Lpp WT,0.518883,0.0929025,421.214,371.215,1.0,1.6853900000000002,1.0,w1_f11_c6,,0
1116,2232,0,Lpp WT,0.374571,0.477443,122.662,260.733,1.0,0.043663,1.0,w1_f11_c7,,0
1117,2233,1,Lpp WT,0.448596,0.197884,125.932,405.525,1.0,4.72434,1.0,w1_f11_c7,,0
1118,2234,2,Lpp WT,0.399266,0.383176,125.855,661.835,2.0,15.3781,1.0,w1_f11_c7,,0
1119,2235,3,Lpp WT,0.523035,0.064417,130.32299999999998,1846.8,0.0,0.0,0.0,w1_f11_c7,,0
1120,2236,4,Lpp WT,0.520139,0.0652695,206.276,3156.57,0.0,0.0,0.0,w1_f11_c7,,0
1121,2237,5,Lpp WT,0.51443,0.0687817,201.332,3413.77,0.0,0.0,0.0,w1_f11_c7,,0
1122,2238,6,Lpp WT,0.505671,0.0933681,251.307,2514.58,2.0,4.663209999999999,1.0,w1_f11_c7,,0
1123,2239,7,Lpp WT,0.517259,0.072051,301.7,2581.11,3.0,6.13028,1.0,w1_f11_c7,,0
1124,2240,8,Lpp WT,0.489371,0.140151,418.28,4360.36,2.0,7.58863,1.0,w1_f11_c7,,0
1125,2241,9,Lpp WT,0.4957359999999999,0.1207029999999999,406.444,3748.52,2.0,8.06892,1.0,w1_f11_c7,,0
1126,2242,10,Lpp WT,0.52346,0.0751889999999999,478.325,5187.29,2.0,3.83361,1.0,w1_f11_c7,,0
1127,2243,11,Lpp WT,0.4957319999999999,0.117747,435.853,4455.29,2.0,10.776,1.0,w1_f11_c7,,0
1128,2244,12,Lpp WT,0.5232829999999999,0.0705301,468.582,5071.54,1.0,3.6153,1.0,w1_f11_c7,,0
1129,2245,13,Lpp WT,0.493768,0.108956,379.854,3394.16,3.0,10.0949,1.0,w1_f11_c7,,0
1130,2246,14,Lpp WT,0.4926779999999999,0.125387,442.184,4359.07,2.0,9.81544,1.0,w1_f11_c7,,0
1131,2247,15,Lpp WT,0.492292,0.129175,397.36,3710.26,2.0,10.8022,1.0,w1_f11_c7,,0
1132,2248,16,Lpp WT,0.497287,0.119691,383.22,3553.36,2.0,10.0687,1.0,w1_f11_c7,,0
1133,2249,17,Lpp WT,0.484705,0.138596,384.099,3476.87,2.0,11.6406,1.0,w1_f11_c7,,0
1134,2591,0,Lpp WT,0.338314,0.550539,117.016,229.014,3.0,4.25278,1.0,w1_f12_c4,,0
1135,2592,1,Lpp WT,0.3467989999999999,0.462405,118.5,335.97,3.0,5.66746,1.0,w1_f12_c4,,0
