,t,bact,mito_frag,mito_pot,annexin,hoechst,leg_n,leg_area,infected,cell_lbl,well_id,growth
41278,0,Lpp dotA,0.364167,0.627679,0.994678434138305,269.763,11.0,18.5655,1.0,w10_f13_c4,,0
41279,1,Lpp dotA,0.363018,0.583136,1.0020879270981715,491.691,11.0,15.448,1.0,w10_f13_c4,,0
41280,2,Lpp dotA,0.370399,0.5522859999999999,1.0032336387635234,646.786,10.0,16.461,1.0,w10_f13_c4,,0
41281,3,Lpp dotA,0.370718,0.4910479999999999,1.0160037242598174,760.388,10.0,15.4305,1.0,w10_f13_c4,,0
41282,4,Lpp dotA,0.378145,0.40734,1.0348703338732024,831.107,8.0,11.4572,1.0,w10_f13_c4,,0
41283,5,Lpp dotA,0.388436,0.351174,1.0399131377725248,901.309,8.0,14.3739,1.0,w10_f13_c4,,0
41284,6,Lpp dotA,0.403398,0.2832659999999999,1.0491791854017936,947.988,10.0,11.3698,1.0,w10_f13_c4,,0
41285,7,Lpp dotA,0.425479,0.250117,1.0892958194068503,986.349,8.0,14.8367,1.0,w10_f13_c4,,0
41286,8,Lpp dotA,0.42867,0.2715869999999999,1.093703046031963,991.096,7.0,14.0246,1.0,w10_f13_c4,,0
41287,9,Lpp dotA,0.4228449999999999,0.2904199999999999,1.095634866431206,977.576,8.0,14.6096,1.0,w10_f13_c4,,0
41288,10,Lpp dotA,0.423654,0.300627,1.0971401810280186,1023.02,10.0,18.1376,1.0,w10_f13_c4,,0
41289,11,Lpp dotA,0.447896,0.251303,1.0982775298344991,1105.97,8.0,13.2124,1.0,w10_f13_c4,,0
41290,12,Lpp dotA,0.430743,0.295239,1.1184487454317884,1049.86,11.0,17.081,1.0,w10_f13_c4,,0
41291,13,Lpp dotA,0.429243,0.28903,1.1303156421699947,1081.09,10.0,14.8891,1.0,w10_f13_c4,,0
41292,14,Lpp dotA,0.454039,0.211307,1.1285176275126907,1152.88,8.0,15.9283,1.0,w10_f13_c4,,0
41293,15,Lpp dotA,0.436277,0.269489,1.1434620563154916,1170.32,9.0,14.4699,1.0,w10_f13_c4,,0
41294,16,Lpp dotA,0.422926,0.312483,1.1648124350136175,1040.37,10.0,15.8147,1.0,w10_f13_c4,,0
41295,17,Lpp dotA,0.4326569999999999,0.288032,1.1573611277593951,1115.58,8.0,14.8192,1.0,w10_f13_c4,,0
41358,0,Lpp dotA,0.364908,0.558495,0.9366464567338244,355.337,4.0,6.08662,1.0,w10_f14_c3,,0
41359,1,Lpp dotA,0.381029,0.485961,1.0478963418289657,606.313,3.0,6.04296,1.0,w10_f14_c3,,0
41360,2,Lpp dotA,0.4116109999999999,0.391235,1.0154572014372099,686.45,6.0,13.3172,1.0,w10_f14_c3,,0
41361,3,Lpp dotA,0.394853,0.4597239999999999,0.9176481873009148,879.65,8.0,18.6266,1.0,w10_f14_c3,,0
41362,4,Lpp dotA,0.409528,0.321753,0.9139312649126522,999.578,5.0,16.6443,1.0,w10_f14_c3,,0
41363,5,Lpp dotA,0.420917,0.3045449999999999,0.9524973322089311,1024.33,6.0,16.2164,1.0,w10_f14_c3,,0
41364,6,Lpp dotA,0.430281,0.297574,0.8738364634082979,1118.71,6.0,13.7451,1.0,w10_f14_c3,,0
41365,7,Lpp dotA,0.431317,0.30394,0.8886022373474762,1163.42,7.0,12.4614,1.0,w10_f14_c3,,0
41366,8,Lpp dotA,0.4410229999999999,0.278787,0.8770557977994221,1158.54,7.0,13.3172,1.0,w10_f14_c3,,0
41367,9,Lpp dotA,0.431537,0.3040199999999999,0.9134576570599544,1160.21,6.0,14.9327,1.0,w10_f14_c3,,0
41368,10,Lpp dotA,0.444885,0.256105,0.883704292845524,1262.17,3.0,11.0118,1.0,w10_f14_c3,,0
41369,11,Lpp dotA,0.431975,0.304341,0.9060837626445304,1181.85,7.0,15.8497,1.0,w10_f14_c3,,0
41370,12,Lpp dotA,0.431008,0.295478,0.8627996019296023,1210.62,6.0,13.946,1.0,w10_f14_c3,,0
41371,13,Lpp dotA,0.408577,0.350306,0.889777264425056,1182.13,5.0,10.9681,1.0,w10_f14_c3,,0
41372,14,Lpp dotA,0.421363,0.307031,0.8679853081648394,1332.94,5.0,13.3871,1.0,w10_f14_c3,,0
41373,15,Lpp dotA,0.397326,0.382044,0.8621641281019315,1306.76,5.0,11.0293,1.0,w10_f14_c3,,0
41374,16,Lpp dotA,0.402553,0.374631,0.8723856646696535,1294.4,7.0,15.3606,1.0,w10_f14_c3,,0
41375,17,Lpp dotA,0.413742,0.348613,0.8731350441834161,1293.28,9.0,17.308,1.0,w10_f14_c3,,0
41376,0,Lpp dotA,0.371145,0.446306,0.9968787380382775,237.631,7.0,12.0947,1.0,w10_f14_c4,,0
41377,1,Lpp dotA,0.395521,0.339232,1.0013163234791524,333.061,12.0,21.1853,1.0,w10_f14_c4,,0
41378,2,Lpp dotA,0.417575,0.270556,1.00180493848257,411.458,9.0,19.0895,1.0,w10_f14_c4,,0
