Database Name	Opera_Phenix_1
Database Link	http://157.99.122.161/ODA/OdaService.asmx
Evaluation Signature	e740a9c8-6ba9-4899-a4ca-d0a2745e5893
Plate Name	EP149
Measurement	Measurement 1
Evaluation	Evaluation10
Population	Population - Tracked Real_Nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Bacteria	Tracked Real_Nuclei - Age [s]	Tracked Real_Nuclei - Current Displacement X [µm]	Tracked Real_Nuclei - Current Displacement Y [µm]	Tracked Real_Nuclei - Track Point X	Tracked Real_Nuclei - Track Point Y	Tracked Real_Nuclei - Current Speed [µm/s]	
4	5	1	9	1	5	1488	1112	[1333,915,1645,1302]	38.88	393.99	Lpp WT	32401.9	-1.96242	1.77552	1496	1120	0.00179778	
4	5	1	9	1	6	221	1146	[1,879,463,1439]	-80.91	391.99	Lpp WT	32401.9	-0.654139	-6.44794	214	1141	0.00180897	
4	5	1	9	1	7	768	1069	[646,834,929,1212]	-28.4	400.45	Lpp WT	32401.9	0.0934484	-8.31691	776	1050	0.00285247	
4	5	1	9	1	9	987	1585	[742,1387,1239,1763]	-7.39	351.89	Lpp WT	32401.9	-3.64449	-4.39207	1000	1570	0.00157231	
4	5	1	9	1	10	183	1691	[58,1577,307,1846]	-83.51	338.56	Lpp WT	32401.9	-8.78415	-7.47587	186	1713	0.00190128	
4	5	1	9	1	12	2072	703	[1985,569,2158,812]	94.05	434.26	Lpp WT	28802.6	0	-1.21483	2086	689	0.00168866	
4	5	1	9	1	15	1001	661	[816,541,1264,918]	-3.8	432.27	Lpp WT	25201	-1.49517	-4.85932	1039	710	0.000734179	
4	5	1	9	1	17	1046	869	[897,772,1243,1016]	-0.55	414.35	Lpp WT	7199.88	-2.52311	0	1074	902	0.000221787	
4	5	1	9	1	18	659	899	[423,827,735,1256]	-44.66	401.06	Lpp WT	3599.96	3.27069	-7.66277	602	1044	0.00227844	
4	5	1	10	1	5	1506	970	[1344,787,1687,1178]	40.94	405.4	Lpp WT	36084	0.0934484	-9.62518	1518	998	0.00551442	
4	5	1	10	1	6	262	1013	[1,750,593,1306]	-78.34	404.25	Lpp WT	36084	1.86897	-18.6897	241	1010	0.00198462	
4	5	1	10	1	7	792	944	[671,708,951,1087]	-26.77	414.09	Lpp WT	36084	1.68207	-21.9604	793	904	0.00204219	
4	5	1	10	1	9	984	1472	[779,1270,1317,1648]	-4.04	362.29	Lpp WT	36084	-0.280345	-14.7648	1036	1459	0.00201433	
4	5	1	10	1	10	215	1580	[95,1454,344,1700]	-80.87	351.58	Lpp WT	36084	-6.16759	-20.5586	214	1573	0.00203918	
4	5	1	10	1	12	2076	534	[1952,424,2158,715]	93.53	445.55	Lpp WT	32484.6	-0.56069	-12.5221	2080	568	0.00183392	
4	5	1	10	1	15	1061	648	[827,446,1315,903]	-0.98	435.99	Lpp WT	28883	1.30828	-8.59725	1069	670	0.00115237	
4	5	1	10	1	18	637	1008	[538,710,719,1133]	-41.57	408.75	Lpp WT	7281.99	6.35449	-15.3255	635	962	0.00164569	
4	5	1	10	1	20	969	194	[904,145,1041,252]	-9.98	480.05	Lpp WT	0	0	0	973	199	0.00116302	
4	5	1	10	1	21	1557	1470	[1302,1149,1750,1715]	42.87	365.27	Lpp WT	0	0	0	1538	1427	NaN	
4	5	1	10	1	22	664	2089	[535,2005,792,2158]	-38.33	302.13	Lpp WT	0	0	0	669	2103	NaN	
4	5	1	11	1	5	1542	1359	[1320,829,1751,1708]	43.38	377.3	Lpp WT	39605.6	2.52311	18.4093	1544	1298	0.00575374	
4	5	1	11	1	6	209	967	[13,773,507,1272]	-79.97	405.09	Lpp WT	39605.6	0.280345	-19.5307	224	1001	0.000540788	
4	5	1	11	1	7	791	945	[671,714,954,1090]	-27.05	413.24	Lpp WT	39605.6	1.40173	-21.0259	790	914	0.000595654	
4	5	1	11	1	9	1025	1498	[798,1282,1345,1694]	-1	360.44	Lpp WT	39605.6	2.80345	-12.8959	1069	1479	0.000572268	
4	5	1	11	1	10	214	1566	[95,1458,310,1707]	-81.99	350.85	Lpp WT	39605.6	-7.28897	-19.8111	202	1581	0.000320643	
4	5	1	11	1	12	2087	582	[2002,457,2158,687]	95.34	445.26	Lpp WT	36006.3	1.30828	-12.2417	2100	571	0.000318037	
4	5	1	11	1	15	1036	681	[875,427,1196,883]	-4.49	436.78	Lpp WT	32404.7	-2.24276	-9.34484	1031	662	0.00114114	
4	5	1	11	1	18	641	1018	[572,704,719,1111]	-40.99	412.25	Lpp WT	10803.7	6.91518	-18.8766	641	924	0.00164853	
4	5	1	11	1	20	941	234	[695,1,1207,504]	-12.27	476.69	Lpp WT	3521.67	-2.33621	3.36414	948	235	0.000943057	
4	5	1	12	1	5	1515	1435	[1257,1154,1764,1725]	41.2	364.68	Lpp WT	43201.6	0.280345	31.0249	1520	1433	0.00189117	
4	5	1	12	1	6	248	1016	[1,764,517,1310]	-78.89	403.27	Lpp WT	43201.6	1.30828	-17.7552	235	1020	0.000389719	
4	5	1	12	1	7	741	828	[577,710,955,1093]	-28.34	416.16	Lpp WT	43201.6	0.0934484	-24.0162	776	882	0.00111309	
4	5	1	12	1	9	1062	1503	[780,1228,1330,1758]	-0.57	360.17	Lpp WT	43201.6	3.17724	-12.6155	1073	1482	0.000129834	
4	5	1	12	1	10	203	1574	[74,1445,314,1712]	-82.71	350.27	Lpp WT	43201.6	-8.03656	-19.2504	194	1587	0.000462624	
4	5	1	12	1	12	2085	585	[2012,456,2158,692]	95.39	444.88	Lpp WT	39602.2	1.30828	-11.8679	2100	575	0.000181767	
4	5	1	12	1	15	1061	658	[840,450,1322,912]	-0.23	435.49	Lpp WT	36000.7	2.05586	-8.03656	1077	676	0.0006892	
4	5	1	12	1	18	685	981	[542,885,806,1146]	-37.95	404.68	Lpp WT	14399.6	9.90553	-11.3073	673	1005	0.00226326	
4	5	1	12	1	20	949	229	[718,1,1253,478]	-9.63	476.61	Lpp WT	7117.62	0.280345	3.36414	976	235	0.000529803	
4	5	1	12	1	23	690	70	[552,1,803,139]	-36.81	493.41	Lpp WT	0	0	0	686	56	9.35512E-05	
4	5	1	12	1	24	89	403	[1,211,183,626]	-94.14	458.41	Lpp WT	0	0	0	72	430	0.000116036	
4	5	1	12	1	25	1520	1001	[1363,801,1676,1183]	41.86	405.09	Lpp WT	0	0	0	1527	1001	0.000415953	
4	5	1	13	1	5	1522	1441	[1274,1178,1761,1726]	41.41	363.96	Lpp WT	46803.2	0.56069	31.7724	1523	1441	0.000123823	
4	5	1	13	1	6	263	1029	[1,766,538,1342]	-78.54	402.62	Lpp WT	46803.2	1.68207	-17.1011	239	1027	0.000133609	
4	5	1	13	1	7	758	915	[535,709,961,1158]	-31.16	412.38	Lpp WT	46803.2	-2.71	-20.1849	746	923	0.00068813	
4	5	1	13	1	9	1064	1513	[776,1234,1330,1765]	-0.29	359.77	Lpp WT	46803.2	3.45759	-12.2417	1076	1486	0.000134736	
4	5	1	13	1	10	198	1603	[88,1505,299,1721]	-81.93	348.05	Lpp WT	46803.2	-7.19553	-17.0076	203	1611	0.000345521	
4	5	1	13	1	12	2086	592	[1985,461,2158,699]	94.81	444.17	Lpp WT	43203.8	0.747587	-11.1204	2094	583	0.000129739	
4	5	1	13	1	15	1068	668	[839,462,1321,917]	-0.19	435.01	Lpp WT	39602.3	2.05586	-7.56932	1077	681	0.0013962	
4	5	1	13	1	20	950	234	[710,1,1242,484]	-10.43	475.72	Lpp WT	10719.2	-0.467242	4.29863	968	245	0.000340693	
4	5	1	13	1	23	685	72	[548,1,803,144]	-37.1	493.18	Lpp WT	3601.59	-0.280345	0.186897	683	58	0.000104799	
4	5	1	13	1	24	87	437	[1,228,176,636]	-94.51	458.27	Lpp WT	3601.59	-0.373794	0.186897	68	432	0.000330473	
4	5	1	13	1	25	1519	1004	[1350,805,1697,1193]	41.71	403.56	Lpp WT	3601.59	-0.0934484	1.49517	1526	1017	0.000295019	
4	5	1	13	1	26	497	1881	[160,1634,787,2121]	-56.09	323.14	Lpp WT	0	0	0	479	1878	8.20584E-05	
