Database Name	Opera_Phenix_1
Database Location	http://157.99.122.161/ODA/OdaService.asmx
Evaluation Signature	542866a6-6db8-4296-aaba-f38b4574b780
Plate Name	EP128-TMRM
Measurement	Measurement 1
Evaluation	Evaluation10

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Bacteria - Number of Objects	Bacteria - Bacteria Area [µm²] - Mean per Well	Tracked Cells - Number of Objects	Tracked Cells - Bacteria Area [µm²]- Sum per Cell  - Mean per Well	Tracked Cells - IF - Mean per Well	Tracked Cells - NI - Mean per Well	Tracked Cells - Intensity Tracked cell region dsRed Mean - Mean per Well	Tracked Cells - Intensity Tracked cell region dsRed StdDev - Mean per Well	Tracked Cells - red sdmean - Mean per Well	% IF cells	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Bacteria	
5	6	1	-3	114	0	NaN	98	0	0	1	224.230271845	152.137602298	0.614051430188	0	4	0	-984.877	0	37	0	5	Rotenone	NI	
5	7	1	-3	130	0	NaN	112	0	0	1	226.11173676	145.98850902	0.57846203574	0	4	0	-985.687	0	37	0	5	TTFA	NI	
5	8	1	-3	103	0	NaN	93	0	0	1	245.343937049	174.759496946	0.641912942728	0	4	0	-985.92	0	37	0	5	Antimycin A	NI	
5	9	1	-3	79	0	NaN	71	0	0	1	217.057916967	136.261033831	0.546483665312	0	4	0	-985.483	0	37	0	5	NaCN	NI	
5	10	1	-3	71	0	NaN	65	0	0	1	312.598340204	274.614194759	0.79931972527	0	4	0	-986.42	0	37	0	5	FCCP	NI	
5	11	1	-3	0	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	0	-985.683	0	37	0	5			
6	3	1	-3	97	704	0.74356785557	59	8.87240288681	0.830508474576	0.169491525424	206.00458079	142.665943691	0.592265953524	83.0508474576	4	0	-985.1099999999999	0	37	0	5	NT	Lpp WT	
6	4	1	-3	121	709	0.898491901804	81	7.86457726394	0.888888888889	0.111111111111	232.72680857	182.331919157	0.71020658945	88.8888888889	4	0	-984.704	0	37	0	5	Oligomycin	Lpp WT	
6	5	1	-3	129	744	0.844654971092	85	7.39321527638	0.8	0.2	224.11703886	169.375189971	0.68684736273	80	4	0	-984.173	0	37	0	5	DCCD	Lpp WT	
6	6	1	-3	186	708	0.986123184013	122	5.72274765804	0.803278688525	0.196721311475	224.536564275	164.238946549	0.67522533271	80.3278688525	4	0	-984.93999999999994	0	37	0	5	Rotenone	Lpp WT	
6	7	1	-3	187	629	0.83645625687	120	4.38442487976	0.658333333333	0.341666666667	235.032633469	180.18167485	0.691622244236	65.8333333333	4	0	-985.32599999999991	0	37	0	5	TTFA	Lpp WT	
6	8	1	-3	108	528	0.840630239337	55	8.07005029764	0.763636363636	0.236363636364	192.184106285	120.368819013	0.546876868178	76.3636363636	4	0	-985.68599999999992	0	37	0	5	Antimycin A	Lpp WT	
6	9	1	-3	146	963	0.850634227119	102	8.03098785016	0.843137254902	0.156862745098	220.502921492	158.334829061	0.642176096962	84.3137254902	4	0	-985.437	0	37	0	5	NaCN	Lpp WT	
6	10	1	-3	144	800	0.834788024016	82	8.14427340504	0.80487804878	0.19512195122	233.334093122	181.133556405	0.690964419047	80.487804878	4	0	-986.31	0	37	0	5	FCCP	Lpp WT	
6	11	1	-3	0	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	0	-985.967	0	37	0	5			
7	3	1	-3	92	605	0.973999756876	55	10.7139973256	0.854545454545	0.145454545455	209.27214847	143.373394749	0.602350517231	85.4545454545	4	0	-985.12299999999993	0	37	0	5	NT	Lpp WT	
7	4	1	-3	135	583	1.02869942631	94	6.38012516528	0.872340425532	0.127659574468	258.220514188	216.108329017	0.758300158529	87.2340425532	4	0	-984.703	0	37	0	5	Oligomycin	Lpp WT	
7	5	1	-3	117	577	0.955712330941	70	7.87780021362	0.871428571429	0.128571428571	238.248118006	185.942033942	0.660760552538	87.1428571429	4	0	-984.424	0	37	0	5	DCCD	Lpp WT	
